,Medal,Beer Name,Brewery,City,State,Category,Year
251,Bronze,Bravus Barrel-Aged Bourbon Stout,Bravus Brewing Co.,Newport Beach,CA,Non-Alcohol Beer or Alcohol-Free Beer,2019
252,Gold,80 Chain Stout,MAP Brewing Co.,Bozeman,MT,Oatmeal Stout,2019
253,Silver,Yonder Mountain Stout,Vine Street Pub & Brewery,Denver,CO,Oatmeal Stout,2019
254,Bronze,Shaman Stout,Toltec Brewing Co.,Albuquerque,NM,Oatmeal Stout,2019
255,Gold,Private Stock Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2019
256,Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2019
257,Bronze,Last Will and Testament,Monday Night Brewing - Garage,Atlanta,GA,Old Ale or Strong Ale,2019
258,Gold,Chronic Amber Ale,Pizza Port - Bressi Ranch,Carlsbad,CA,Ordinary or Special Bitter,2019
259,Silver,Cousin Jack,Dostal Alley Brewpub & Casino,Central City,CO,Ordinary or Special Bitter,2019
260,Bronze,Milford Pub Ale,River's Edge Brewing Co.,Milford,MI,Ordinary or Special Bitter,2019
261,Gold,"Very, Very Far",Off Color Brewing,Chicago,IL,Other Belgian-Style Ale,2019
