,Medal,Beer Name,Brewery,City,State,Category,Year
2082,Gold,The Hammer,Rock Bottom King of Prussia,King of Prussia,PA,Baltic-Style Porter,2012
2083,Silver,Danzig,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Baltic-Style Porter,2012
2084,Bronze,Polska Porter,American Brewing Co.,Edmonds,WA,Baltic-Style Porter,2012
2085,Gold,Johan the Barleywine,Sun King Brewing Co.,Indianapolis,IN,Barley Wine-Style Ale,2012
2086,Silver,Barley Wine,Charleville Vineyard & Microbrewery,Ste. Genevieve,MO,Barley Wine-Style Ale,2012
2087,Bronze,Dr. StrangeLove,Strange Brewing Co.,Denver,CO,Barley Wine-Style Ale,2012
2088,Gold,Saint's Devotion,The Lost Abbey,San Marcos,CA,Belgian- and French-Style Ale,2012
2089,Silver,Your Favorite Foreign Movie,DC Brau Brewing Co.,Washington,DC,Belgian- and French-Style Ale,2012
2090,Bronze,Domaine DuPage,Two Brothers Brewing Co.,Warrenville,IL,Belgian- and French-Style Ale,2012
2091,Gold,Green Flash Trippel,Green Flash Brewing Co.,San Diego,CA,Belgian-Style Abbey Ale,2012
2092,Silver,Sanitarium,Bier Brewery,Indianapolis,IN,Belgian-Style Abbey Ale,2012
2093,Bronze,ABT 12,Dock Street Brewery,Philadelphia,PA,Belgian-Style Abbey Ale,2012
2094,Gold,Sour Reserve,Upland Brewing Co.,Bloomington,IN,Belgian-Style Lambic or Sour Ale,2012
2095,Silver,Barrel Select - FO/BB,Captain Lawrence Brewing Co.,Elmsford,NY,Belgian-Style Lambic or Sour Ale,2012
2096,Bronze,Sans Pagaie,The Bruery,Anaheim,CA,Belgian-Style Lambic or Sour Ale,2012
2097,Gold,Deceit,Funkwerks,Fort Collins,CO,Belgian-Style Strong Specialty Ale,2012
2098,Silver,Rhinoceros,Telegraph Brewing Co.,Santa Barbara,CA,Belgian-Style Strong Specialty Ale,2012
2099,Bronze,AleSmith Grand Cru,AleSmith Brewing Co.,San Diego,CA,Belgian-Style Strong Specialty Ale,2012
2100,Gold,ZON,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Witbier,2012
2101,Silver,White Rascal,Avery Brewing Co.,Boulder,CO,Belgian-Style Witbier,2012
2102,Bronze,White Lightning Belgian White,Full Pint Brewing Co.,North Versailles,PA,Belgian-Style Witbier,2012
2103,Gold,Butt Head Bock,Tommyknocker Brewery,Idaho Springs,CO,Bock,2012
2104,Silver,Elixer Maibock,Mad Fox Brewing Co.,Falls Church,VA,Bock,2012
2105,Bronze,Turbo Cougar,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Bock,2012
2106,Gold,Hometown Blonde,New Glarus Brewing Co.,New Glarus,WI,Bohemian-Style Pilsener,2012
2107,Silver,Summit Pilsener,Summit Brewing Co.,St. Paul,MN,Bohemian-Style Pilsener,2012
2108,Bronze,This is the Pilsener,Hoppers Grill & Brewing Co.,Midvale,UT,Bohemian-Style Pilsener,2012
2109,Gold,Pluff Mud Porter,Holy City Brewing,North Charleston,SC,Brown Porter,2012
2110,Silver,Exodus,SweetWater Brewing Co.,Atlanta,GA,Brown Porter,2012
2111,Bronze,Peter Brown Tribute Ale,Bear Republic Brewing Co. Factory Five,Cloverdale,CA,Brown Porter,2012
2112,Gold,Cocoa for Coconuts,Chicago Brewing Co.,Las Vegas,NV,Chocolate Beer,2012
2113,Silver,X - 1,DuClaw Brewing Co.,Bel Air,MD,Chocolate Beer,2012
2114,Bronze,Milk Chocolate Cherry Stout,Il Vicino Brewing Co.,Albuquerque,NM,Chocolate Beer,2012
2115,Gold,Royal Scandal,Peticolas Brewing Co.,Dallas,TX,Classic English-Style Pale Ale,2012
2116,Silver,Gayle Force Pale Ale,Wind River Brewing Co.,Pinedale,WY,Classic English-Style Pale Ale,2012
2117,Bronze,Hurricane Reef Pale Ale,Florida Beer Co.,Melbourne,FL,Classic English-Style Pale Ale,2012
2118,Gold,Seaside Stout,Pizza Port Solana Beach,Solana Beach,CA,Classic Irish-Style Dry Stout,2012
2119,Silver,Oyster Stout,Stewart's Brewing Co.,Bear,DE,Classic Irish-Style Dry Stout,2012
2120,Bronze,Ramsey's Draft Stout,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Classic Irish-Style Dry Stout,2012
2121,Gold,Smog City Groundwork Coffee Porter,Tustin Brewing Co.,Tustin,CA,Coffee Beer,2012
2122,Silver,Hazelnut Coffee Cream Stout,Redwood Brewing Co.,Flint,MI,Coffee Beer,2012
2123,Bronze,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Coffee Beer,2012
2124,Gold,Move Back,The SandLot,Denver,CO,Dortmunder or German-Style Oktoberfest,2012
2125,Silver,Rolling Thunder Dortmunder,Snake River Brewing,Jackson,WY,Dortmunder or German-Style Oktoberfest,2012
2126,Bronze,Celestial Gold,The Church Brew Works,Pittsburgh,PA,Dortmunder or German-Style Oktoberfest,2012
2127,Gold,Sierra Blanca Nut Brown Ale,Sierra Blanca Brewing Co.,Moriarty,NM,English-Style Brown Ale,2012
2128,Silver,Red Hydrant Ale,Big Dog's Brewing Co.,Las Vegas,NV,English-Style Brown Ale,2012
2129,Bronze,Molly's Titanic Brown Ale,Rock Bottom Westminster,Westminster,CO,English-Style Brown Ale,2012
2130,Gold,India Pale Ale,Goose Island Beer Co.,Chicago,IL,English-Style India Pale Ale,2012
2131,Silver,Silverspot IPA,Pelican Pub & Brewery,Pacific City,OR,English-Style India Pale Ale,2012
2132,Bronze,Monumental IPA,Port City Brewing Co.,Alexandria,VA,English-Style India Pale Ale,2012
2133,Gold,Bristlecone,Uinta Brewing Co.,Salt Lake City,UT,English-Style Mild Ale,2012
2134,Silver,Breakside Session Brown,Breakside Brewery,Portland,OR,English-Style Mild Ale,2012
2135,Bronze,S.S. Minnow Mild Ale,Dry Dock Brewing Co.,Aurora,CO,English-Style Mild Ale,2012
2136,Gold,Cross of Gold,Revolution Brewing,Chicago,IL,English-Style Summer Ale,2012
2137,Silver,Sum'r,Uinta Brewing Co.,Salt Lake City,UT,English-Style Summer Ale,2012
2138,Bronze,Mother Lode Golden Ale,Laurelwood Brewing Co.,Portland,OR,English-Style Summer Ale,2012
2139,Gold,Knight Ryder Munich Dunkel,Equinox Brewing Co.,Fort Collins,CO,European-Style Dunkel,2012
2140,Silver,Pious Monk Dunkel,The Church Brew Works,Pittsburgh,PA,European-Style Dunkel,2012
2141,Bronze,Mother Earth Munich Dunkel,Mother Earth Brewing,Kinston,NC,European-Style Dunkel,2012
2142,Gold,Redrock Paardebloem,Redrock Brewing Co.,Salt Lake City,UT,Experimental Beer,2012
2143,Silver,Petit Obscura,Telegraph Brewing Co.,Santa Barbara,CA,Experimental Beer,2012
2144,Bronze,Track #8,The Lost Abbey,San Marcos,CA,Experimental Beer,2012
2145,Gold,Crystal Bitter Ale,No-Li Brewhouse,Spokane,WA,Extra Special Bitter,2012
2146,Silver,The Tower E.S.B.,Bull & Bush Brewery,Denver,CO,Extra Special Bitter,2012
2147,Bronze,Extra Special Ale (ESA),Yards Brewing Co.,Philadelphia,PA,Extra Special Bitter,2012
2148,Gold,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Field Beer or Pumpkin Beer,2012
2149,Silver,Anaheim IPA,RAM Restaurant and Brewery - Indianapolis,Indianapolis,IN,Field Beer or Pumpkin Beer,2012
2150,Bronze,Cucumber Saison,Cigar City Brewing,Tampa,FL,Field Beer or Pumpkin Beer,2012
2151,Gold,Starry Night Stout,Island Brewing Co.,Carpinteria,CA,Foreign-Style Stout,2012
2152,Silver,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign-Style Stout,2012
2153,Bronze,Ramsey's Export Stout,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Foreign-Style Stout,2012
2154,Gold,Saison,Funkwerks,Fort Collins,CO,French- and Belgian-Style Saison,2012
2155,Silver,Saison,Aspen Brewing Co.,Aspen,CO,French- and Belgian-Style Saison,2012
2156,Bronze,El Verano,Beachwood BBQ & Brewing,Long Beach,CA,French- and Belgian-Style Saison,2012
2157,Gold,Estate Homegrown Ale,Sierra Nevada Brewing Co.,Chico,CA,Fresh Hop Ale,2012
2158,Silver,HopTime Harvest Ale,Russian River Brewing Co.,Santa Rosa,CA,Fresh Hop Ale,2012
2159,Bronze,Colorado IPA Nouveau,Tommyknocker Brewery,Idaho Springs,CO,Fresh Hop Ale,2012
2160,Gold,Dry Dock Apricot Blonde,Dry Dock Brewing Co.,Aurora,CO,Fruit Beer,2012
2161,Silver,ChChChCh-Cherry Bomb,Thai Me Up Brewery,Jackson,WY,Fruit Beer,2012
2162,Bronze,Strawberry Blonde Ale,DESTIHL,Normal,IL,Fruit Beer,2012
2163,Gold,Ruby Raspberry Wheat,Mad Anthony Brewing Co.,Fort Wayne,IN,Fruit Wheat Beer,2012
2164,Silver,Leinenkugel's Summer Shandy,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,Fruit Wheat Beer,2012
2165,Bronze,5 Lizard Latin-Style Witbier,5 Rabbit Cerveceria,Bedford Park,IL,Fruit Wheat Beer,2012
2166,Gold,Balt Altbier,Union Craft Brewing Co.,Baltimore,MD,German-Style Altbier,2012
2167,Silver,Land's End Amber,Kannah Creek Brewing Co.,Grand Junction,CO,German-Style Altbier,2012
2168,Bronze,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2012
2169,Gold,Uber Bock,Great Dane Pub & Brewing Co.,Madison,WI,German-Style Doppelbock or Eisbock,2012
2170,Silver,Samuel Adams Double Bock,Boston Beer Co. - Samuel Adams Cincinnati Brewery,Cincinnati,OH,German-Style Doppelbock or Eisbock,2012
2171,Bronze,Resurrection Doppelbock,Red Lodge Ales Brewing Co.,Red Lodge,MT,German-Style Doppelbock or Eisbock,2012
2172,Gold,Capital City Kolsch,Blind Tiger Brewery & Restaurant,Topeka,KS,German-Style Kölsch,2012
2173,Silver,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,German-Style Kölsch,2012
2174,Bronze,Sky Blue Golden Ale,Carolina Brewery,Pittsboro,NC,German-Style Kölsch,2012
2175,Gold,Shiner Oktoberfest,Spoetzl Brewery,Shiner,TX,German-Style Märzen,2012
2176,Silver,Mecktoberfest,The Olde Mecklenburg Brewery,Charlotte,NC,German-Style Märzen,2012
2177,Bronze,Dominion Oktoberfest,Old Dominion Brewing Co.,Dover,DE,German-Style Märzen,2012
2178,Gold,Sunshine Pils,Tröegs Brewing Co.,Hershey,PA,German-Style Pilsener,2012
2179,Silver,Hans' Pils,Real Ale Brewing Co.,Blanco,TX,German-Style Pilsener,2012
2180,Bronze,Paintbrush Pilsner,Snake River Brewing,Jackson,WY,German-Style Pilsener,2012
2181,Gold,Shiner Bohemian Black Lager,Spoetzl Brewery,Shiner,TX,German-Style Schwarzbier,2012
2182,Silver,Baba,Uinta Brewing Co.,Salt Lake City,UT,German-Style Schwarzbier,2012
2183,Bronze,Black Bear,Morgan Street Brewery,Saint Louis,MO,German-Style Schwarzbier,2012
2184,Gold,Berliner Metro Weiss,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,German-Style Sour Ale,2012
2185,Silver,German Sparkle Party,10 Barrel Brewing Co.,Bend,OR,German-Style Sour Ale,2012
2186,Bronze,NBB Love Felix,New Belgium Brewing Co.,Fort Collins,CO,German-Style Sour Ale,2012
2187,Gold,Wildpitch Hefeweizen,The SandLot,Denver,CO,German-Style Wheat Ale,2012
2188,Silver,AlpenGlow,Fat Heads Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2012
2189,Bronze,Weizeneisbock,Gordon Biersch Brewing Co.,San Jose,CA,German-Style Wheat Ale,2012
2190,Gold,Nikki's Gluten Free Honey Pale Ale,Rock Bottom Arlington,Arlington,VA,Gluten-Free Beer,2012
2191,Silver,Brown,New Planet Beer Co.,Boulder,CO,Gluten-Free Beer,2012
2192,Bronze,Pale Ale,Harvester Brewing,Portland,OR,Gluten-Free Beer,2012
2193,Gold,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Golden or Blonde Ale,2012
2194,Silver,Firemans #4,Real Ale Brewing Co.,Blanco,TX,Golden or Blonde Ale,2012
2195,Bronze,TAPS Cream Ale,TAPS Fish House & Brewery,Brea,CA,Golden or Blonde Ale,2012
2196,Gold,Sweet Heat,Burnside Brewing Co.,Portland,OR,Herb and Spice Beer,2012
2197,Silver,CBC Heather Ale,Cambridge Brewing Co.,Cambridge,MA,Herb and Spice Beer,2012
2198,Bronze,Utah Sage Saison,Epic Brewing Co.,Salt Lake City,UT,Herb and Spice Beer,2012
2199,Gold,2 X 4,Thai Me Up Brewery,Jackson,WY,Imperial India Pale Ale,2012
2200,Silver,Café Racer 15,Bear Republic Brewing Co. - Healdsburg,Healdsburg,CA,Imperial India Pale Ale,2012
2201,Bronze,Double Jack,Firestone Walker Brewing Co.,Paso Robles,CA,Imperial India Pale Ale,2012
2202,Gold,Organic Deranger Imperial Red Ale,Laurelwood Brewing Co.,Portland,OR,Imperial Red Ale,2012
2203,Silver,Imperial Red,Marble Brewery,Albuquerque,NM,Imperial Red Ale,2012
2204,Bronze,547 Haight. The Toronado San Francisco's 20th Anniversary Imperial Red Ale,Pizza Port Carlsbad,Carlsbad,CA,Imperial Red Ale,2012
2205,Gold,Anastasia Russian Imperial Stout,Weasel Boy Brewing Co.,Zanesville,OH,Imperial Stout,2012
2206,Silver,Imperial Stout,Sierra Nevada Brewing Co.,Chico,CA,Imperial Stout,2012
2207,Bronze,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Media,Media,PA,Imperial Stout,2012
2208,Gold,Got Beer,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Indigenous Beer,2012
2209,Silver,Signature Gratzer,choc Beer Co.,Krebs,OK,Indigenous Beer,2012
2210,Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,CA,Indigenous Beer,2012
2211,Gold,River Runners Pale Ale,Eddyline Brewing,Buena Vista,CO,International-Style Pale Ale,2012
2212,Silver,Southern Chaos,Hollister Brewing Co.,Goleta,CA,International-Style Pale Ale,2012
2213,Bronze,Pipe Organ Pale Ale,The Church Brew Works,Pittsburgh,PA,International-Style Pale Ale,2012
2214,Gold,Irish Red,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Irish-Style Red Ale,2012
2215,Silver,TAPS Irish Red,TAPS Fish House & Brewery,Brea,CA,Irish-Style Red Ale,2012
2216,Bronze,Balefire Red,Echo Brewing Co.,Frederick,CO,Irish-Style Red Ale,2012
2217,Gold,Bottle Rocket,Uncle Billy's Brew & Que - Lake Travis,Austin,TX,Kellerbier or Zwickelbier,2012
2218,Silver,Redrock Organic Zwickel Bier,Redrock Brewing Co.,Salt Lake City,UT,Kellerbier or Zwickelbier,2012
2219,Bronze,Organic Hopworks Kellerbier,Hopworks Urban Brewery,Portland,OR,Kellerbier or Zwickelbier,2012
2220,Gold,6X Helles,CB & Potts Restaurant & Brewery - Fort Collins,Fort Collins,CO,Munich-Style Helles,2012
2221,Silver,Session Premium Lager,Full Sail Brewing Co.,Hood River,OR,Munich-Style Helles,2012
2222,Bronze,Longboard Island Lager,Kona Brewing Co.,Kailua-Kona,HI,Munich-Style Helles,2012
2223,Gold,Oats,Pizza Port Solana Beach,Solana Beach,CA,Oatmeal Stout,2012
2224,Silver,Stumbler's Stout,Columbia River Brewing Co.,Portland,OR,Oatmeal Stout,2012
2225,Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,CA,Oatmeal Stout,2012
2226,Gold,Heini's Hooch,The Church Brew Works,Pittsburgh,PA,Old Ale or Strong Ale,2012
2227,Silver,Papier,The Bruery,Anaheim,CA,Old Ale or Strong Ale,2012
2228,Bronze,AleSmith Decadence '10 Old Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2012
2229,Gold,DBA,Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2012
2230,Silver,Mens Room Original Red Ale,Elysian Brewing Co.,Seattle,WA,Ordinary or Special Bitter,2012
2231,Bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Ordinary or Special Bitter,2012
2232,Gold,Reverb Imperial Pilsner,Boulevard Brewing Co.,Kansas City,MO,Other Strong Beer,2012
2233,Silver,Heart of Gold,Perennial Artisan Ales,St. Louis,MO,Other Strong Beer,2012
2234,Bronze,Double White,Marble Brewery,Albuquerque,NM,Other Strong Beer,2012
2235,Gold,More Fun Blonde,New Belgium Brewing Co.,Fort Collins,CO,Pro-Am Competition,2012
2236,Silver,Pointon's Proper - An English Mild,RAM Restaurant and Brewery - Wheeling,Wheeling,IL,Pro-Am Competition,2012
2237,Bronze,Classic American Pilsner,Minneapolis Town Hall Brewery,Minneapolis,MN,Pro-Am Competition,2012
2238,Gold,More Fun Blonde,New Belgium Brewing Co.,Fort Collins,CO,Proam,2012
2239,Silver,Pointon's Proper - An English Mild,RAM Restaurant and Brewery - Wheeling,Wheeling,IL,Proam,2012
2240,Bronze,Classic American Pilsner,Minneapolis Town Hall Brewery,Minneapolis,MN,Proam,2012
2241,Silver,Coco Loco,NoDa Brewing Co.,Charlotte,NC,Robust Porter,2012
2242,Bronze,Black Sand Porter,Kona Brewing Co.,Kailua-Kona,HI,Robust Porter,2012
2243,Gold,Gramarye,Heretic Brewing Co.,Pittsburg,CA,Rye Beer,2012
2244,Silver,Kyles Baltic Porter,Flat Branch Pub and Brewery,Columbia,MO,Rye Beer,2012
2245,Bronze,Roggenbier,Iron Hill Brewery & Restaurant - Phoenixville,Phoenixville,PA,Rye Beer,2012
2246,Gold,Way Heavy,Pizza Port San Clemente,San Clemente,CA,Scotch Ale,2012
2247,Silver,Iron Thistle,Rahr & Sons Brewing,Fort Worth,TX,Scotch Ale,2012
2248,Bronze,Scotch Ale,Barley Brown's Brew Pub,Baker City,OR,Scotch Ale,2012
2249,Gold,Wee Heavy,Maui Brewing Co.,Lahaina,HI,Scottish-Style Ale,2012
2250,Silver,Isle of Skye Scottish Ale,Boscos Brewing Co.,Memphis,TN,Scottish-Style Ale,2012
2251,Bronze,MacPelican's Scottish Style Ale,Pelican Pub & Brewery,Pacific City,OR,Scottish-Style Ale,2012
2252,Gold,Twerp,Pizza Port Carlsbad,Carlsbad,CA,Session Beer,2012
2253,Silver,Dock Street/Thiriez Table Saison,Dock Street Brewery,Philadelphia,PA,Session Beer,2012
2254,Bronze,Bitter American,21st Amendment Brewery,San Francisco,CA,Session Beer,2012
2255,Gold,Bambastic,Fort Collins Brewery,Fort Collins,CO,Smoke Beer,2012
2256,Silver,Rauchtoberfest,Iron Hill Brewery & Restaurant - Lancaster,Lancaster,PA,Smoke Beer,2012
2257,Bronze,Smoke & Dagger,Jack's Abby Brewing,Framingham,MA,Smoke Beer,2012
2258,Gold,DreamWeaver Wheat,Tröegs Brewing Co.,Hershey,PA,South German-Style Hefeweizen,2012
2259,Silver,Ebel's Weiss,Two Brothers Brewing Co.,Warrenville,IL,South German-Style Hefeweizen,2012
2260,Bronze,Yazoo Hefeweizen,Yazoo Brewing Co.,Nashville,TN,South German-Style Hefeweizen,2012
2261,Gold,Hazelnut Brown Nectar,Rogue Brewery,Newport,OR,Specialty Beer,2012
2262,Silver,Alaskan Birch Bock,Alaskan Brewing Co.,Juneau,AK,Specialty Beer,2012
2263,Bronze,Exit 8,Flying Fish Brewing Co.,Somerdale,NJ,Specialty Beer,2012
2264,Gold,West Bound Braggot,Twisted Pine Brewing Co.,Boulder,CO,Specialty Honey Beer,2012
2265,Silver,George's Fault,Nodding Head Brewing Co.,Philadelphia,PA,Specialty Honey Beer,2012
2266,Bronze,Kuhnhenn Braggot,Kuhnhenn Brewing Co.,Warren,MI,Specialty Honey Beer,2012
2267,Gold,Udder Love,Beachwood BBQ & Brewing,Long Beach,CA,Sweet Stout,2012
2268,Silver,Milk Stout,Rock Bottom Westminster,Westminster,CO,Sweet Stout,2012
2269,Bronze,Udder Madness,Bastone Brewery,Royal Oak,MI,Sweet Stout,2012
2270,Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Vienna-Style Lager,2012
2271,Silver,Chuckanut Vienna Lager,Chuckanut Brewery,Bellingham,WA,Vienna-Style Lager,2012
2272,Bronze,Danish Red Lager,Figueroa Mountain Brewing Co.,Buellton,CA,Vienna-Style Lager,2012
2273,Gold,Jerry Maker,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Wood- and Barrel-Aged Beer,2012
2274,Silver,Bourbon Barrel Aged Night Sail,Island Brewing Co.,Carpinteria,CA,Wood- and Barrel-Aged Beer,2012
2275,Bronze,Local Species,Blue Mountain Barrel House,Arrington,VA,Wood- and Barrel-Aged Beer,2012
2276,Gold,Lady Of The Woods,Cisco Brewers,Nantucket,MA,Wood- and Barrel-Aged Sour Beer,2012
2277,Silver,Sentience,Crooked Stave Artisan Beer Project,Denver,CO,Wood- and Barrel-Aged Sour Beer,2012
2278,Bronze,George's Phunk,Nodding Head Brewing Co.,Philadelphia,PA,Wood- and Barrel-Aged Sour Beer,2012
2279,Gold,The Manhattan Project,The Beer Co.,San Diego,CA,Wood- and Barrel-Aged Strong Beer,2012
2280,Silver,Pappy Van Muckle,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2012
2281,Bronze,Golden Delicious,Captain Lawrence Brewing Co.,Elmsford,NY,Wood- and Barrel-Aged Strong Beer,2012
2282,Gold,Fourteen Fourteen,Central Waters Brewing Co.,Amherst,WI,Wood- and Barrel-Aged Strong Stout,2012
2283,Silver,Silva Stout,Green Flash Brewing Co.,San Diego,CA,Wood- and Barrel-Aged Strong Stout,2012
2284,Bronze,Barrel Aged Russian Imperial Stout,AC Golden Brewing Co.,Golden,CO,Wood- and Barrel-Aged Strong Stout,2012
2285,Gold,Expedition Stout,Bell's Brewery,Galesburg,MI,Aged Beer,2011
2286,Silver,Release the Hounds,Bull & Bush Brewery,Denver,CO,Aged Beer,2011
2287,Bronze,2004 Triple Exultation,Eel River Brewing Co.,Fortuna,CA,Aged Beer,2011
2288,Gold,Angry Birds,Haymarket Pub & Brewery,Chicago,IL,American-Belgo-Style Ale,2011
2289,Silver,Blue Reserve,Blue Mountain Brewery,Afton,VA,American-Belgo-Style Ale,2011
2290,Bronze,Boulevard Collaboration #2,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2011
2291,Gold,Uberbrau,Humperdink's Restaurant and Brewery,Dallas,TX,American-Style Amber Lager,2011
2292,Silver,Colorado Native,AC Golden Brewing Co.,Golden,CO,American-Style Amber Lager,2011
2293,Bronze,Florida Beer Florida Lager,Florida Beer Co.,Melbourne,FL,American-Style Amber Lager,2011
2294,Gold,Amber Waves,21st Amendment Brewery,San Francisco,CA,American-Style Amber/Red Ale,2011
2295,Silver,Jamaica Red Ale,Mad River Brewing Co.,Blue Lake,CA,American-Style Amber/Red Ale,2011
2296,Bronze,Rocket Red,Big River Grille and Brewing,"(Disney Boardwalk, FL) Chattanooga",TN,American-Style Amber/Red Ale,2011
2297,Gold,Blacktop IPA,New Glarus Brewing Co.,New Glarus,WI,American-Style Black Ale,2011
2298,Silver,Blackened CDA,Carter's Brewing,Billings,MT,American-Style Black Ale,2011
2299,Bronze,Black Racer,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Black Ale,2011
2300,Gold,Confluence,Allagash Brewing Co.,Portland,ME,American-Style Brett Ale,2011
2301,Silver,Super Friends IPA,Ithaca Beer Co.,Ithaca,NY,American-Style Brett Ale,2011
2302,Bronze,Grimalkin - Super Kitty Fantastico,Brugge Brasserie,Indianapolis,IN,American-Style Brett Ale,2011
2303,Gold,Great American Brown,Pizza Port Carlsbad,Carlsbad,CA,American-Style Brown Ale,2011
2304,Silver,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,UT,American-Style Brown Ale,2011
2305,Bronze,Brave American,American Brewing Co.,Edmonds,WA,American-Style Brown Ale,2011
2306,Gold,Durango Dark,Durango Brewing Co.,Durango,CO,American-Style Dark Lager,2011
2307,Silver,Session Black,Full Sail Brewing Co.,Hood River,OR,American-Style Dark Lager,2011
2308,Bronze,Schwarzbier,AC Golden Brewing Co.,Golden,CO,American-Style Dark Lager,2011
2309,Gold,Elevated IPA,La Cumbre Brewing Co.,Albuquerque,NM,American-Style India Pale Ale,2011
2310,Silver,Deviant Dale's,Oskar Blues Brewery,Longmont,CO,American-Style India Pale Ale,2011
